pc_reads_total	n_reads_clade	n_reads_direct	n_minimizers_total	n_minimizers_distinct	rank	taxid	name	sample
0	417	417	1204	1155	S	1827469	Brevundimonas sp. GW460-12-10-14-LB2	AP-DNA-1
0	338	338	899	823	S	2813778	Brevundimonas sp. CS1	AP-DNA-1
0	334	334	978	909	S	1938605	Brevundimonas sp. LM2	AP-DNA-1
0	318	318	864	814	S	2579977	Brevundimonas sp. SGAir0440	AP-DNA-1
0	312	312	821	782	S	2562582	Brevundimonas sp. 'scallop'	AP-DNA-1
0	311	311	1012	968	S	2986928	Brevundimonas sp. BT-123	AP-DNA-1
0	292	292	842	792	S	2561924	Brevundimonas sp. MF30-B	AP-DNA-1
0	237	237	688	644	S	2752515	Brevundimonas sp. AJA228-03	AP-DNA-1
0	127	127	376	360	S	1532555	Brevundimonas sp. DS20	AP-DNA-1
0	99	99	276	263	S	2560058	Brevundimonas sp. Bb-A	AP-DNA-1
0	1317	1317	6591	6222	S	172043	Brevundimonas nasdae	AP-DNA-1
0	1071	1071	3858	3651	S	588932	Brevundimonas naejangsanensis	AP-DNA-1
0	914	914	2912	2756	S	293	Brevundimonas diminuta	AP-DNA-1
0	677	677	2605	2448	S	1312364	Brevundimonas albigilva	AP-DNA-1
0	641	641	2827	2725	S	2774189	Brevundimonas pondensis	AP-DNA-1
0	602	602	1925	1812	S	2774190	Brevundimonas goettingensis	AP-DNA-1
0	394	394	1216	1146	S	74329	Brevundimonas mediterranea	AP-DNA-1
0	342	342	1314	1247	S	41276	Brevundimonas vesicularis	AP-DNA-1
0	267	0	839	785	S	74313	Brevundimonas subvibrioides	AP-DNA-1
0	267	267	839	785	S1	633149	Brevundimonas subvibrioides ATCC 15264	AP-DNA-1
0	241	241	727	666	S	2800818	Brevundimonas vitisensis	AP-DNA-1
0	213	213	744	702	S	1325724	Brevundimonas vancanneytii	AP-DNA-1
0.01	3807	705	15575	14655	G	75	Caulobacter	AP-DNA-1
0	780	780	2842	2687	S	88688	Caulobacter segnis	AP-DNA-1
0	529	0	2184	2037	G1	2648921	unclassified Caulobacter	AP-DNA-1
0	311	311	1065	994	S	2823693	Caulobacter sp. S6	AP-DNA-1
0	218	218	1116	1040	S	69665	Caulobacter sp. FWC26	AP-DNA-1
0	400	400	1374	1315	S	2708539	Caulobacter soli	AP-DNA-1
0	351	351	1317	1258	S	2010972	Caulobacter rhizosphaerae	AP-DNA-1
0	342	342	1406	1342	S	1679497	Caulobacter flavus	AP-DNA-1
0	283	283	1119	1035	S	69666	Caulobacter mirabilis	AP-DNA-1
0	262	262	1026	984	S	155892	Caulobacter vibrioides	AP-DNA-1
0	155	155	507	476	S	69395	Caulobacter henricii	AP-DNA-1
0	949	44	3593	3362	G	20	Phenylobacterium	AP-DNA-1
0	456	0	1709	1601	S	284016	Phenylobacterium zucineum	AP-DNA-1
0	456	456	1709	1601	S1	450851	Phenylobacterium zucineum HLK1	AP-DNA-1
0	309	0	1154	1093	G1	2640670	unclassified Phenylobacterium	AP-DNA-1
0	309	309	1154	1093	S	2903901	Phenylobacterium sp. LH3H17	AP-DNA-1
0	140	140	573	520	S	2201350	Phenylobacterium parvum	AP-DNA-1
0	188	21	797	758	G	76890	Asticcacaulis	AP-DNA-1
0	93	61	402	388	S	78587	Asticcacaulis excentricus	AP-DNA-1
0	32	32	148	143	S1	573065	Asticcacaulis excentricus CB 48	AP-DNA-1
0	74	0	319	298	G1	2628350	unclassified Asticcacaulis	AP-DNA-1
0	74	74	319	298	S	2840468	Asticcacaulis sp. AND118	AP-DNA-1
0	89	0	353	330	G	2768684	Terricaulis	AP-DNA-1
0	89	89	353	330	S	2686094	Terricaulis silvestris	AP-DNA-1
0.06	18404	542	99410	91701	O	204441	Rhodospirillales	AP-DNA-1
0.04	11685	470	70724	65134	F	433	Acetobacteraceae	AP-DNA-1
0.03	8481	2985	57067	52698	G	125216	Roseomonas	AP-DNA-1
0.01	1722	1722	7094	6524	S	207340	Roseomonas mucosa	AP-DNA-1
0	1327	26	4763	4308	G1	2617492	unclassified Roseomonas	AP-DNA-1
0	821	821	2789	2505	S	2897332	Roseomonas sp. OT10	AP-DNA-1
0	403	403	1461	1326	S	1750527	Roseomonas sp. S08	AP-DNA-1
0	77	77	417	403	S	2018065	Roseomonas sp. FDAARGOS_362	AP-DNA-1
0	1043	790	4682	4407	S	257708	Roseomonas gilardii	AP-DNA-1
0	253	253	775	739	S1	204527	Roseomonas gilardii subsp. gilardii	AP-DNA-1
0	1007	1007	5648	5389	S	2768162	Roseomonas haemaphysalidis	AP-DNA-1
0	397	397	1261	1158	S	2768161	Roseomonas marmotae	AP-DNA-1
0	375	0	1399	1250	G	504465	Rhodovastum	AP-DNA-1
0	375	375	1399	1250	S	504468	Rhodovastum atsumiense	AP-DNA-1
0	359	0	1265	1138	G	35812	Roseococcus	AP-DNA-1
0	359	359	1265	1138	S	2771361	Roseococcus microcysteis	AP-DNA-1
0	334	77	1772	1706	G	434	Acetobacter	AP-DNA-1
0	58	46	201	198	S	438	Acetobacter pasteurianus	AP-DNA-1
0	5	5	19	19	S1	1266844	Acetobacter pasteurianus 386B	AP-DNA-1
0	4	4	15	14	S1	481145	Acetobacter pasteurianus subsp. pasteurianus	AP-DNA-1
0	3	3	11	11	S1	1006554	Acetobacter pasteurianus NBRC 101655	AP-DNA-1
0	50	0	240	220	G1	151157	Acetobacter subgen. Acetobacter	AP-DNA-1
0	50	42	240	220	S	435	Acetobacter aceti	AP-DNA-1
0	8	8	54	53	S1	887700	Acetobacter aceti NBRC 14818	AP-DNA-1
0	23	0	92	87	G1	2628570	unclassified Acetobacter	AP-DNA-1
0	23	23	92	87	S	2592655	Acetobacter sp. KACC 21233	AP-DNA-1
0	22	22	121	117	S	431306	Acetobacter ghanensis	AP-DNA-1
0	20	20	68	64	S	104102	Acetobacter tropicalis	AP-DNA-1
0	19	19	94	91	S	146474	Acetobacter orientalis	AP-DNA-1
0	19	19	89	82	S	1076596	Acetobacter persici	AP-DNA-1
0	16	16	36	33	S	481146	Acetobacter ascendens	AP-DNA-1
0	15	15	54	53	S	2500548	Acetobacter oryzoeni	AP-DNA-1
0	13	13	51	48	S	446692	Acetobacter senegalensis	AP-DNA-1
0	1	1	8	8	S	65959	Acetobacter pomorum	AP-DNA-1
0	1	1	5	5	S	1633874	Acetobacter oryzifermentans	AP-DNA-1
0	297	103	1276	1178	G	1434011	Komagataeibacter	AP-DNA-1
0	69	41	309	283	S	28448	Komagataeibacter xylinus	AP-DNA-1
0	28	28	128	114	S1	1296990	Komagataeibacter xylinus E25	AP-DNA-1
0	40	40	196	181	S	265959	Komagataeibacter saccharivorans	AP-DNA-1
0	23	23	96	91	S	65958	Komagataeibacter oboediens	AP-DNA-1
0	22	22	102	96	S	33995	Komagataeibacter europaeus	AP-DNA-1
0	21	0	79	73	S	1177712	Komagataeibacter medellinensis	AP-DNA-1
0	21	21	79	73	S1	634177	Komagataeibacter medellinensis NBRC 3288	AP-DNA-1
0	18	18	92	84	S	265960	Komagataeibacter nataicola	AP-DNA-1
0	1	1	3	3	S	215221	Komagataeibacter rhaeticus	AP-DNA-1
0	233	0	923	860	G	1706033	Sediminicoccus	AP-DNA-1
0	233	233	923	860	S	1225128	Sediminicoccus rosea	AP-DNA-1
0	224	182	827	749	G	522	Acidiphilium	AP-DNA-1
0	38	29	153	137	S	62140	Acidiphilium multivorum	AP-DNA-1
0	9	9	49	43	S1	926570	Acidiphilium multivorum AIU301	AP-DNA-1
0	4	0	37	35	S	524	Acidiphilium cryptum	AP-DNA-1
0	4	4	37	35	S1	349163	Acidiphilium cryptum JF-5	AP-DNA-1
0	174	0	701	627	G	2804525	Lichenicola	AP-DNA-1
0	174	174	701	627	S	1484109	Lichenicola cladoniae	AP-DNA-1
0	166	27	742	689	G	441	Gluconobacter	AP-DNA-1
0	52	14	207	189	S	442	Gluconobacter oxydans	AP-DNA-1
0	20	20	52	48	S1	290633	Gluconobacter oxydans 621H	AP-DNA-1
0	18	18	82	71	S1	1288313	Gluconobacter oxydans DSM 3504	AP-DNA-1
0	36	36	147	136	S	318683	Gluconobacter albidus	AP-DNA-1
0	24	24	99	91	S	38308	Gluconobacter frateurii	AP-DNA-1
0	16	16	93	88	S	574987	Gluconobacter sphaericus	AP-DNA-1
0	11	11	30	28	S	257438	Gluconobacter thailandicus	AP-DNA-1
0	135	0	545	493	G	2603324	Acidibrevibacterium	AP-DNA-1
0	135	135	545	493	S	1969806	Acidibrevibacterium fodinaquatile	AP-DNA-1
0	122	0	553	512	G	89583	Gluconacetobacter	AP-DNA-1
0	122	0	553	512	S	33996	Gluconacetobacter diazotrophicus	AP-DNA-1
0	122	122	553	512	S1	272568	Gluconacetobacter diazotrophicus PA1 5	AP-DNA-1
0	94	0	325	295	G	364409	Granulibacter	AP-DNA-1
0	94	93	325	295	S	364410	Granulibacter bethesdensis	AP-DNA-1
0	1	1	5	4	S1	1052095	Granulibacter bethesdensis CGDNIH4	AP-DNA-1
0	47	0	229	209	G	91914	Asaia	AP-DNA-1
0	47	23	229	209	S	91915	Asaia bogorensis	AP-DNA-1
0	24	24	122	111	S1	1231624	Asaia bogorensis NBRC 16594	AP-DNA-1
0	46	0	186	175	G	320496	Neoasaia	AP-DNA-1
0	46	46	186	175	S	320497	Neoasaia chiangmaiensis	AP-DNA-1
0	37	0	151	140	G	153497	Kozakia	AP-DNA-1
0	37	37	151	140	S	153496	Kozakia baliensis	AP-DNA-1
0	34	0	160	154	G	2919364	Novacetimonas	AP-DNA-1
0	34	31	160	154	S	436	Novacetimonas hansenii	AP-DNA-1
0	3	3	13	13	S1	714995	Komagataeibacter hansenii ATCC 23769	AP-DNA-1
0	20	0	70	68	G	2791118	Oecophyllibacter	AP-DNA-1
0	20	20	70	68	S	2558360	Oecophyllibacter saccharovorans	AP-DNA-1
0	16	10	57	55	G	1602345	Parasaccharibacter	AP-DNA-1
0	5	5	11	11	S	1510841	Parasaccharibacter apium	AP-DNA-1
0	1	0	10	9	G1	2626400	unclassified Parasaccharibacter	AP-DNA-1
0	1	1	10	9	S	2268025	Parasaccharibacter sp. TMW 2.1888	AP-DNA-1
0	8	0	39	35	G	1223423	Neokomagataea	AP-DNA-1
0	8	8	39	35	S	661191	Neokomagataea tanensis	AP-DNA-1
0	6	0	35	31	G	2952773	Formicincola	AP-DNA-1
0	6	6	35	31	S	2558361	Formicincola oecophyllae	AP-DNA-1
0	3	0	13	11	G	1649499	Swingsia	AP-DNA-1
0	3	3	13	11	S	1293412	Swingsia samuiensis	AP-DNA-1
0	2	0	14	13	G	1079922	Commensalibacter	AP-DNA-1
0	2	1	14	13	G1	2630218	unclassified Commensalibacter	AP-DNA-1
0	1	1	2	2	S	2478912	Commensalibacter sp. AMU001	AP-DNA-1
0	1	0	12	12	G	1654741	Bombella	AP-DNA-1
0	1	0	12	12	G1	2644098	unclassified Bombella	AP-DNA-1
0	1	1	12	12	S	2697033	Bombella sp. KACC 21507	AP-DNA-1
0	1	0	11	11	G	2811380	Entomobacter	AP-DNA-1
0	1	1	11	11	S	2762277	Entomobacter blattae	AP-DNA-1
0.01	3896	96	16805	15712	F	2829815	Azospirillaceae	AP-DNA-1
0.01	1968	689	8673	8140	G	191	Azospirillum	AP-DNA-1
0	363	20	1618	1525	G1	2630922	unclassified Azospirillum	AP-DNA-1
0	111	111	449	414	S	137722	Azospirillum sp. B510	AP-DNA-1
0	89	89	415	392	S	652764	Azospirillum sp. TSH100	AP-DNA-1
0	87	87	397	379	S	709810	Azospirillum sp. TSA2s	AP-DNA-1
0	56	56	279	268	S	664962	Azospirillum sp. TSH58	AP-DNA-1
0	201	201	865	811	S	2202148	Azospirillum thermophilum	AP-DNA-1
0	145	145	707	668	S	192	Azospirillum brasilense	AP-DNA-1
0	140	140	600	573	S	528244	Azospirillum thiophilum	AP-DNA-1
0	109	109	478	452	S	2970906	Azospirillum argentinense	AP-DNA-1
0	87	87	352	326	S	682998	Azospirillum ramasamyi	AP-DNA-1
0	75	75	283	270	S	1226968	Azospirillum humicireducens	AP-DNA-1
0	71	71	317	299	S	286727	Azospirillum oryzae	AP-DNA-1
0	64	0	297	280	S	193	Azospirillum lipoferum	AP-DNA-1
0	64	64	297	280	S1	862719	Azospirillum lipoferum 4B	AP-DNA-1
0	24	24	147	141	S	1064539	Azospirillum baldaniorum	AP-DNA-1
0	1432	516	6029	5622	G	204447	Skermanella	AP-DNA-1
0	264	264	984	933	S	1789672	Skermanella mucosa	AP-DNA-1
0	249	0	969	896	G1	2632462	unclassified Skermanella	AP-DNA-1
0	249	249	969	896	S	2775420	Skermanella sp. TT6	AP-DNA-1
0	212	212	834	776	S	1817965	Skermanella rosea	AP-DNA-1
0	191	191	689	639	S	2233999	Skermanella pratensis	AP-DNA-1
0	165	0	772	727	G	1543705	Nitrospirillum	AP-DNA-1
0	165	0	772	727	S	28077	Nitrospirillum amazonense	AP-DNA-1
0	165	165	772	727	S1	1441467	Nitrospirillum amazonense CBAmc	AP-DNA-1
0	145	0	578	530	G	2478349	Indioceanicola	AP-DNA-1
0	145	145	578	530	S	2220096	Indioceanicola profundi	AP-DNA-1
0	90	0	371	351	G	1543704	Niveispirillum	AP-DNA-1
0	90	90	371	351	S	1612173	Niveispirillum cyanobacteriorum	AP-DNA-1
0.01	1593	27	6677	6215	F	41295	Rhodospirillaceae	AP-DNA-1
0	512	41	2091	1968	G	2705399	Hypericibacter	AP-DNA-1
0	249	249	1048	994	S	2602015	Hypericibacter terrae	AP-DNA-1
0	222	222	888	834	S	2602016	Hypericibacter adhaerens	AP-DNA-1
0	335	35	1539	1439	G	13134	Magnetospirillum	AP-DNA-1
0	128	33	687	645	G1	2617991	unclassified Magnetospirillum	AP-DNA-1
0	54	54	273	257	S	1639348	Magnetospirillum sp. ME-1	AP-DNA-1
0	41	41	276	262	S	1663591	Magnetospirillum sp. XM-1	AP-DNA-1
0	94	63	381	351	S	55518	Magnetospirillum gryphiswaldense	AP-DNA-1
0	31	1	98	88	S1	431944	Magnetospirillum gryphiswaldense MSR-1	AP-DNA-1
0	30	30	94	84	S2	1430440	Magnetospirillum gryphiswaldense MSR-1 v2	AP-DNA-1
0	78	0	315	303	S	84159	Magnetospirillum magneticum	AP-DNA-1
0	78	78	315	303	S1	342108	Magnetospirillum magneticum AMB-1	AP-DNA-1
0	249	0	1019	948	G	1081	Rhodospirillum	AP-DNA-1
0	180	0	664	617	S	34018	Rhodospirillum centenum	AP-DNA-1
0	180	180	664	617	S1	414684	Rhodospirillum centenum SW	AP-DNA-1
0	69	69	354	330	S	1085	Rhodospirillum rubrum	AP-DNA-1
0	158	0	677	635	G	171436	Tistrella	AP-DNA-1
0	158	0	677	635	S	171437	Tistrella mobilis	AP-DNA-1
0	158	158	677	635	S1	1110502	Tistrella mobilis KA081020-065	AP-DNA-1
0	118	0	486	455	G	1231242	Ferrovibrio	AP-DNA-1
0	118	118	486	455	S	2594003	Ferrovibrio terrae	AP-DNA-1
0	90	0	408	365	G	111830	Defluviicoccus	AP-DNA-1
0	90	90	408	365	S	111831	Defluviicoccus vanus	AP-DNA-1
0	85	0	304	273	G	1612157	Pararhodospirillum	AP-DNA-1
0	85	0	304	273	S	1084	Pararhodospirillum photometricum	AP-DNA-1
0	85	85	304	273	S1	1150469	Pararhodospirillum photometricum DSM 122	AP-DNA-1
0	14	0	57	49	G	1804663	Haematospirillum	AP-DNA-1
0	14	14	57	49	S	1549855	Haematospirillum jordaniae	AP-DNA-1
0	5	0	37	27	G	1263978	Candidatus Endolissoclinum	AP-DNA-1
0	5	1	37	27	S	1263979	Candidatus Endolissoclinum faulkneri	AP-DNA-1
0	3	3	25	16	S1	1193729	Candidatus Endolissoclinum faulkneri L2	AP-DNA-1
0	1	1	10	10	S1	1401328	Candidatus Endolissoclinum faulkneri L5	AP-DNA-1
0	266	0	1157	1073	F	2844601	Stellaceae	AP-DNA-1
0	266	0	1157	1073	G	93	Stella	AP-DNA-1
0	266	266	1157	1073	S	94	Stella humosa	AP-DNA-1
0	156	0	625	584	F	2690195	Elioraeaceae	AP-DNA-1
0	156	0	625	584	G	457933	Elioraea	AP-DNA-1
0	156	156	625	584	S	2843330	Elioraea tepida	AP-DNA-1
0	145	0	695	639	F	2844866	Thalassospiraceae	AP-DNA-1
0	102	26	515	478	G	168934	Thalassospira	AP-DNA-1
0	34	0	191	184	G1	2648997	unclassified Thalassospira	AP-DNA-1
0	14	14	92	89	S	2946605	Thalassospira sp. GO-4	AP-DNA-1
0	10	10	56	53	S	2785908	Thalassospira sp. A40-3	AP-DNA-1
0	10	10	38	37	S	2785911	Thalassospira sp. B30-1	AP-DNA-1
0	29	29	120	106	S	2048283	Thalassospira marina	AP-DNA-1
0	10	10	55	45	S	1891279	Thalassospira indica	AP-DNA-1
0	3	0	29	28	S	220697	Thalassospira xiamenensis	AP-DNA-1
0	3	3	29	28	S1	1123366	Thalassospira xiamenensis M-5 = DSM 17429	AP-DNA-1
0	43	0	180	161	G	1182780	Magnetospira	AP-DNA-1
0	43	0	180	161	G1	2685734	unclassified Magnetospira	AP-DNA-1
0	43	43	180	161	S	1288970	Magnetospira sp. QH-2	AP-DNA-1
0	88	0	408	389	F	2844864	Thalassobaculaceae	AP-DNA-1
0	88	0	408	389	G	390876	Nisaea	AP-DNA-1
0	88	88	408	389	S	1862145	Nisaea acidiphila	AP-DNA-1
0	29	0	155	135	F	597359	Kiloniellaceae	AP-DNA-1
0	29	0	155	135	G	1647175	Aestuariispira	AP-DNA-1
0	29	29	155	135	S	2775080	Aestuariispira ectoiniformans	AP-DNA-1
0	4	0	33	33	F	2813951	Terasakiellaceae	AP-DNA-1
0	4	0	33	33	G	196080	Terasakiella	AP-DNA-1
0	4	0	33	33	G1	2614952	unclassified Terasakiella	AP-DNA-1
0	4	4	33	33	S	2560057	Terasakiella sp. SH-1	AP-DNA-1
0	569	20	4560	4349	O	766	Rickettsiales	AP-DNA-1
0	275	3	2121	2015	F	942	Anaplasmataceae	AP-DNA-1
0	255	0	1957	1863	F1	952	Wolbachieae	AP-DNA-1
0	255	69	1957	1863	G	953	Wolbachia	AP-DNA-1
0	176	72	1157	1081	G1	2640676	unclassified Wolbachia	AP-DNA-1
0	49	49	432	425	S	2732593	Wolbachia endosymbiont of Ctenocephalides felis wCfeT	AP-DNA-1
0	6	6	40	24	S	931100	Wolbachia endosymbiont of Oedothorax gibbosus	AP-DNA-1
0	5	5	16	16	S	2954053	Wolbachia endosymbiont (group A) of Rhinocyllus conicus	AP-DNA-1
0	4	4	12	12	S	2954056	Wolbachia endosymbiont (group A) of Sicus ferrugineus	AP-DNA-1
0	4	4	7	6	S	2953989	Wolbachia endosymbiont (group A) of Calamotropha paludella	AP-DNA-1
0	3	3	13	8	S	2954014	Wolbachia endosymbiont (group B) of Euphydryas aurinia	AP-DNA-1
0	2	2	4	4	S	2954021	Wolbachia endosymbiont (group B) of Ischnura elegans	AP-DNA-1
0	2	2	2	2	S	2732594	Wolbachia endosymbiont of Ctenocephalides felis wCfeJ	AP-DNA-1
0	2	2	12	10	S	246273	Wolbachia endosymbiont of Cimex lectularius	AP-DNA-1
0	2	2	2	2	S	2954025	Wolbachia endosymbiont (group A) of Lasioglossum morio	AP-DNA-1
0	2	2	16	16	S	169402	Wolbachia endosymbiont of Folsomia candida	AP-DNA-1
0	1	1	1	1	S	2953982	Wolbachia endosymbiont (group B) of Apotomis betuletana	AP-DNA-1
0	1	1	2	2	S	2954005	Wolbachia endosymbiont (group B) of Endotricha flammealis	AP-DNA-1
0	1	1	1	1	S	2953984	Wolbachia endosymbiont (group B) of Archips podanus	AP-DNA-1
0	1	1	2	2	S	2953986	Wolbachia endosymbiont (group B) of Athalia cordata	AP-DNA-1
0	1	1	3	3	S	2953975	Wolbachia endosymbiont (group A) of Andrena dorsata	AP-DNA-1
0	1	1	4	4	S	2916816	Wolbachia endosymbiont of Howardula sp.	AP-DNA-1
0	1	1	6	6	S	2953987	Wolbachia endosymbiont (group A) of Bibio marci	AP-DNA-1
0	1	1	9	5	S	2883238	Wolbachia endosymbiont of Chironomus riparius	AP-DNA-1
0	1	1	4	4	S	2954016	Wolbachia endosymbiont (group A) of Gymnosoma rotundatum	AP-DNA-1
0	1	1	4	4	S	2953991	Wolbachia endosymbiont (group B) of Camptogramma bilineatum	AP-DNA-1
0	1	1	4	4	S	2953995	Wolbachia endosymbiont (group A) of Cheilosia soror	AP-DNA-1
0	1	1	1	1	S	2954012	Wolbachia endosymbiont (group B) of Eucosma cana	AP-DNA-1
0	1	1	9	7	S	1812111	Wolbachia endosymbiont of Cruorifilaria tuberocauda	AP-DNA-1
0	1	1	5	3	S	2954009	Wolbachia endosymbiont (group B) of Episyrphus balteatus	AP-DNA-1
0	1	1	11	8	S	167957	Wolbachia endosymbiont of Aedes albopictus	AP-DNA-1
0	1	1	3	3	S	2954050	Wolbachia endosymbiont (group A) of Protocalliphora azurea	AP-DNA-1
0	1	1	4	2	S	218111	Wolbachia endosymbiont of Corcyra cephalonica	AP-DNA-1
0	1	1	1	1	S	80849	Wolbachia endosymbiont of Brugia malayi	AP-DNA-1
0	1	1	12	9	S	80850	Wolbachia endosymbiont of Litomosoides sigmodontis	AP-DNA-1
0	1	1	4	3	S	125593	Wolbachia endosymbiont of Trichogramma pretiosum	AP-DNA-1
0	1	1	1	1	S	2954066	Wolbachia endosymbiont (group B) of Watsonalla binaria	AP-DNA-1
0	1	1	1	1	S	2954057	Wolbachia endosymbiont (group A) of Sphaerophoria taeniata	AP-DNA-1
0	1	1	3	3	S	116598	Wolbachia endosymbiont of Diaphorina citri	AP-DNA-1
0	8	8	27	27	S	955	Wolbachia pipientis	AP-DNA-1
0	2	2	10	10	S	1845000	Candidatus Wolbachia massiliensis	AP-DNA-1
0	9	0	96	87	G	943	Ehrlichia	AP-DNA-1
0	8	0	79	73	G1	106178	canis group	AP-DNA-1
0	5	5	56	51	S	779	Ehrlichia ruminantium	AP-DNA-1
0	2	2	10	9	S	944	Ehrlichia canis	AP-DNA-1
0	1	1	6	6	S	945	Ehrlichia chaffeensis	AP-DNA-1
0	1	0	13	11	G1	106181	unclassified Ehrlichia	AP-DNA-1
0	1	1	13	11	S	391036	Ehrlichia sp. HF	AP-DNA-1
0	4	1	36	35	G	768	Anaplasma	AP-DNA-1
0	3	0	20	19	G1	106179	phagocytophilum group	AP-DNA-1
0	3	2	20	19	S	948	Anaplasma phagocytophilum	AP-DNA-1
0	1	1	3	3	S1	1392506	Anaplasma phagocytophilum str. Norway variant1	AP-DNA-1
0	4	0	12	12	G	33993	Neorickettsia	AP-DNA-1
0	1	0	3	3	S	950	Neorickettsia risticii	AP-DNA-1
0	1	1	3	3	S1	434131	Neorickettsia risticii str. Illinois	AP-DNA-1
0	1	0	3	3	S	951	Neorickettsia sennetsu	AP-DNA-1
0	1	1	3	3	S1	222891	Neorickettsia sennetsu str. Miyayama	AP-DNA-1
0	1	0	2	2	S	33994	Neorickettsia helminthoeca	AP-DNA-1
0	1	1	2	2	S1	1286528	Neorickettsia helminthoeca str. Oregon	AP-DNA-1
0	1	1	3	3	S	2686014	Neorickettsia findlayensis	AP-DNA-1
0	266	0	1929	1854	F	775	Rickettsiaceae	AP-DNA-1
0	265	0	1919	1845	F1	33988	Rickettsieae	AP-DNA-1
0	264	11	1888	1816	G	780	Rickettsia	AP-DNA-1
0	148	51	896	855	G1	114277	spotted fever group	AP-DNA-1
0	35	35	96	96	S	2761623	Rickettsia tillamookensis	AP-DNA-1
0	12	0	36	33	G2	2750824	unclassified spotted fever group	AP-DNA-1
0	12	12	36	33	S	444612	Rickettsia endosymbiont of Ixodes scapularis	AP-DNA-1
0	12	12	116	110	S	42862	Rickettsia felis	AP-DNA-1
0	9	0	22	22	S	787	Rickettsia australis	AP-DNA-1
0	9	9	22	22	S1	1105110	Rickettsia australis str. Cutlack	AP-DNA-1
0	7	0	21	21	S	786	Rickettsia akari	AP-DNA-1
0	7	7	21	21	S1	293614	Rickettsia akari str. Hartford	AP-DNA-1
0	7	0	20	17	S	35791	Rickettsia massiliae	AP-DNA-1
0	7	7	20	17	S1	416276	Rickettsia massiliae MTU5	AP-DNA-1
0	7	0	36	33	S	781	Rickettsia conorii	AP-DNA-1
0	7	7	34	31	S1	369822	Rickettsia conorii subsp. raoultii	AP-DNA-1
0	3	3	18	9	S	33989	Rickettsia amblyommatis	AP-DNA-1
0	2	2	4	4	S	33992	Rickettsia rhipicephali	AP-DNA-1
0	1	1	3	3	S	35790	Rickettsia japonica	AP-DNA-1
0	1	1	1	1	S	238800	Rickettsia asiatica	AP-DNA-1
0	1	1	3	3	S	109232	Rickettsia monacensis	AP-DNA-1
0	64	0	313	293	G1	114295	unclassified Rickettsia	AP-DNA-1
0	44	0	208	189	S	337479	Rickettsia endosymbiont of Bemisia tabaci	AP-DNA-1
0	44	44	208	189	S1	1182263	Rickettsia sp. MEAM1 (Bemisia tabaci)	AP-DNA-1
0	12	12	52	51	S	931099	Rickettsia endosymbiont of Oedothorax gibbosus	AP-DNA-1
0	6	6	44	44	S	2884482	Rickettsia endosymbiont of Ceutorhynchus assimilis	AP-DNA-1
0	2	2	9	9	S	1133329	Rickettsia endosymbiont of Ixodes pacificus	AP-DNA-1
0	39	0	184	183	G1	1129742	belli group	AP-DNA-1
0	38	38	169	168	S	33990	Rickettsia bellii	AP-DNA-1
0	1	1	15	15	S	788	Rickettsia canadensis	AP-DNA-1
0	2	0	23	22	G1	114292	typhus group	AP-DNA-1
0	2	2	8	8	S	782	Rickettsia prowazekii	AP-DNA-1
0	1	0	24	23	G	69474	Orientia	AP-DNA-1
0	1	1	24	23	S	784	Orientia tsutsugamushi	AP-DNA-1
0	1	0	9	8	G	2115980	Candidatus Phycorickettsia	AP-DNA-1
0	1	1	9	8	S	2115978	Candidatus Phycorickettsia trachydisci	AP-DNA-1
0	5	0	20	12	F	1328881	Candidatus Midichloriaceae	AP-DNA-1
0	3	0	12	5	G	1802983	Candidatus Fokinia	AP-DNA-1
0	3	3	12	5	S	1802984	Candidatus Fokinia solitaria	AP-DNA-1
0	2	0	8	7	G	411566	Candidatus Midichloria	AP-DNA-1
0	2	0	8	7	S	234827	Candidatus Midichloria mitochondrii	AP-DNA-1
0	2	2	8	7	S1	696127	Candidatus Midichloria mitochondrii IricVA	AP-DNA-1
0	2	0	17	15	O1	1699067	unclassified Rickettsiales	AP-DNA-1
0	2	2	17	15	S	2486578	Rickettsiales endosymbiont of Stachyamoeba lipophora	AP-DNA-1
0	1	0	8	8	F	2603433	Candidatus Deianiraeaceae	AP-DNA-1
0	1	0	8	8	G	2603321	Candidatus Deianiraea	AP-DNA-1
0	1	1	8	8	S	2163644	Candidatus Deianiraea vastatrix	AP-DNA-1
0	235	0	1046	986	O	2800059	Maricaulales	AP-DNA-1
0	235	3	1046	986	F	2800061	Maricaulaceae	AP-DNA-1
0	103	0	445	420	G	1649466	Marinicauda	AP-DNA-1
0	103	103	445	420	S	2029849	Marinicauda algicola	AP-DNA-1
0	45	0	213	202	G	74317	Maricaulis	AP-DNA-1
0	45	0	213	202	S	74318	Maricaulis maris	AP-DNA-1
0	45	45	213	202	S1	394221	Maricaulis maris MCS10	AP-DNA-1
0	43	0	188	175	G	2004661	Hyphobacterium	AP-DNA-1
0	43	0	188	175	G1	2638931	unclassified Hyphobacterium	AP-DNA-1
0	43	43	188	175	S	2749086	Hyphobacterium sp. CCMP332	AP-DNA-1
0	41	0	189	178	G	1433402	Glycocaulis	AP-DNA-1
0	41	41	189	178	S	1434191	Glycocaulis alkaliphilus	AP-DNA-1
0	222	0	954	887	O	2800060	Hyphomonadales	AP-DNA-1
0	222	1	954	887	F	69657	Hyphomonadaceae	AP-DNA-1
