sample	percent_gc	mean_seq_len	n_read_pairs	percent_duplicates	n_bases_approx	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	stage
AP-RNA-14	37.5	125.48427069331912	2130736	7.385568971024497	534200000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-RNA-15	42	120.5627343592898	84539	5.87184613018843	20300000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-RNA-16	42	119.19838034773827	83166	7.392444027607439	19700000	pass/pass	pass/pass	warn/warn	fail/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-RNA-2	37	124.4646545820625	12565575	5.248015403831523	3000000000	pass/pass	pass/pass	warn/warn	warn/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-RNA-3	37	122.22823922393108	7043292	3.6888388694099703	1720400000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-RNA-4	37	124.26545227515277	7412711	6.349264723911503	1840600000	pass/pass	pass/pass	warn/warn	warn/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-RNA-5	37	124.53607622461749	4996601	5.332469615976002	1243400000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-RNA-6	37	124.0590255611509	4334351	5.502213639609693	1074400000	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-RNA-7	37	124.56151395380759	4181726	4.749979069775762	1040800000	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-RNA-8	37	124.68375540197192	3802778	5.602254274915062	947400000	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-RNA-9	38.5	123.48044398565034	2637833	9.975571643260913	650800000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
