experiment_accession	run_accession	description
SRX5104006	SRR8289201	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5104003	SRR8289203	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5104002	SRR8289204	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5104001	SRR8289205	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5104004	SRR8289206	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5103999	SRR8289208	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103995	SRR8289212	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103994	SRR8289213	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103993	SRR8289214	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103991	SRR8289216	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103987	SRR8289219	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103979	SRR8289228	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103974	SRR8289233	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103972	SRR8289235	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103970	SRR8289237	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5103968	SRR8289239	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103965	SRR8289242	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5103964	SRR8289243	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5103961	SRR8289246	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103958	SRR8289249	NextSeq 500 sequencing: DNA sequencing of human plasma with CMV qPCR-inferred concentration of nan IU/ml
SRX5103957	SRR8289250	NextSeq 500 sequencing: DNA sequencing of human plasma with CMV qPCR-inferred concentration of nan IU/ml
SRX5103956	SRR8289251	NextSeq 500 sequencing: DNA sequencing of human plasma with CMV qPCR-inferred concentration of nan IU/ml
SRX5103947	SRR8289260	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103945	SRR8289262	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103942	SRR8289265	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103938	SRR8289269	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103937	SRR8289270	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103935	SRR8289272	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103931	SRR8289276	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103930	SRR8289277	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103924	SRR8289283	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103923	SRR8289284	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103917	SRR8289290	NextSeq 500 sequencing: DNA sequencing of clinical human plasma with previously observed taxa: Escherichia coli
SRX5103914	SRR8289293	NextSeq 500 sequencing: DNA sequencing of clinical human plasma with previously observed taxa: nan
SRX5103903	SRR8289304	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103901	SRR8289306	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103895	SRR8289312	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103892	SRR8289315	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103891	SRR8289316	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103890	SRR8289317	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103889	SRR8289318	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103886	SRR8289321	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103883	SRR8289324	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103879	SRR8289328	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103871	SRR8289336	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103868	SRR8289339	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103867	SRR8289340	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103863	SRR8289344	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103861	SRR8289346	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103860	SRR8289347	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103850	SRR8289357	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103842	SRR8289365	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Shigella flexneri_10000 Escherichia coli_0
SRX5103838	SRR8289369	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103837	SRR8289370	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103834	SRR8289373	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Staphylococcus epidermidis_1000 Staphylococcus aureus_3000
SRX5103824	SRR8289382	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103816	SRR8289390	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103815	SRR8289391	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103818	SRR8289392	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_1,000 Shigella flexneri_1,000 Staphylococcus aureus_1,000 Plasmodium falciparum_1,000 Clostridium sporogenes_1,000 Cryptosporidium parvum_1,000 Staphylococcus epidermidis_1,000 Aspergillus fumigatus_1,000 Human mastadenovirus B_1,000 Escherichia coli_1,000 Bordetella pertussis_1,000 Salmonella enterica_1,000 Leishmania major_1,000 Pseudomonas aeruginosa_1,000
SRX5103814	SRR8289393	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Staphylococcus epidermidis_1000 Staphylococcus aureus_3000
SRX5103804	SRR8289403	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000
SRX5103803	SRR8289404	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_31,600 Shigella flexneri_31,600 Staphylococcus aureus_31,600
SRX5103801	SRR8289406	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_31,600 Shigella flexneri_31,600 Staphylococcus aureus_31,600
SRX5103800	SRR8289407	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100,000 Shigella flexneri_100,000 Staphylococcus aureus_100,000
SRX5103799	SRR8289408	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100,000 Shigella flexneri_100,000 Staphylococcus aureus_100,000
SRX5103795	SRR8289412	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: nan
SRX5103792	SRR8289413	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Escherichia coli_10000 Shigella flexneri_0
SRX5103786	SRR8289419	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: nan
SRX5103784	SRR8289423	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5103783	SRR8289424	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5103781	SRR8289426	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5103779	SRR8289428	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103774	SRR8289433	NextSeq 500 sequencing: DNA sequencing of clinical human plasma with previously observed taxa: Escherichia coli
SRX5104133	SRR8289458	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5104131	SRR8289463	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5104127	SRR8289464	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5104126	SRR8289465	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5104122	SRR8289470	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5104121	SRR8289471	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5104120	SRR8289472	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104119	SRR8289473	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104118	SRR8289474	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104117	SRR8289475	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104112	SRR8289480	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104109	SRR8289483	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104107	SRR8289485	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104106	SRR8289486	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5104105	SRR8289487	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104101	SRR8289491	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104100	SRR8289492	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100,000 Shigella flexneri_100,000 Staphylococcus aureus_100,000
SRX5104097	SRR8289495	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100,000 Shigella flexneri_100,000 Staphylococcus aureus_100,000
SRX5104087	SRR8289505	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5104082	SRR8289510	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104080	SRR8289512	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5104077	SRR8289515	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5104073	SRR8289519	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_3,160 Shigella flexneri_3,160 Staphylococcus aureus_3,160 Plasmodium falciparum_3,160 Clostridium sporogenes_3,160 Cryptosporidium parvum_3,160 Staphylococcus epidermidis_3,160 Aspergillus fumigatus_3,160 Human mastadenovirus B_3,160 Escherichia coli_3,160 Bordetella pertussis_3,160 Salmonella enterica_3,160 Leishmania major_3,160 Pseudomonas aeruginosa_3,160
SRX5104070	SRR8289523	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5104069	SRR8289524	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5104065	SRR8289527	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5104063	SRR8289529	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5103468	SRR8288576	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103467	SRR8288577	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103463	SRR8288581	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
