Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR24991098,WGS,231,1652406226,PRJNA983534,SAMN35729030,Metagenome or environmental,595749932,KU LEUVEN,2017-01/2018-12,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20747127,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PD-23,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991099,WGS,222,1238310230,PRJNA983534,SAMN35729030,Metagenome or environmental,442817873,KU LEUVEN,2017-01/2018-12,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20747126,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PD-21,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991100,WGS,253,1641758597,PRJNA983534,SAMN35729030,Metagenome or environmental,588466855,KU LEUVEN,2017-01/2018-12,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20747125,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PD-20,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991101,WGS,236,2179003003,PRJNA983534,SAMN35729030,Metagenome or environmental,739767905,KU LEUVEN,2017-01/2018-12,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20747124,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PD-2,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:41:00Z,1,Multiple_BT,SRP445320
SRR24991102,WGS,243,1183101595,PRJNA983534,SAMN35729030,Metagenome or environmental,432365821,KU LEUVEN,2017-01/2018-12,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20747123,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PD-19,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991103,WGS,238,1223544222,PRJNA983534,SAMN35729030,Metagenome or environmental,454437925,KU LEUVEN,2017-01/2018-12,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX20747122,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PD-18,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991104,WGS,302,1875796292,PRJNA983534,SAMN35729030,Metagenome or environmental,585096912,KU LEUVEN,2017-01/2018-12,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX20747121,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL12,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:41:00Z,1,Multiple_BT,SRP445320
SRR24991105,WGS,225,1147974490,PRJNA983534,SAMN35729030,Metagenome or environmental,429557259,KU LEUVEN,2017-01/2018-12,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX20747120,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PD-17,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991106,WGS,223,1186174562,PRJNA983534,SAMN35729030,Metagenome or environmental,441401378,KU LEUVEN,2017-01/2018-12,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX20747119,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PD-16,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991107,WGS,245,1457077071,PRJNA983534,SAMN35729030,Metagenome or environmental,495879694,KU LEUVEN,2017-01/2018-12,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX20747118,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PD-15,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991108,WGS,208,935853027,PRJNA983534,SAMN35729030,Metagenome or environmental,321250307,KU LEUVEN,2017-01/2018-12,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX20747117,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PD-14,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991109,WGS,223,1154046766,PRJNA983534,SAMN35729030,Metagenome or environmental,397445183,KU LEUVEN,2017-01/2018-12,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX20747116,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PD-13,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991110,WGS,238,1259483265,PRJNA983534,SAMN35729030,Metagenome or environmental,378452259,KU LEUVEN,2017-01/2018-12,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX20747115,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PD-12,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991111,WGS,219,780749736,PRJNA983534,SAMN35729030,Metagenome or environmental,294813249,KU LEUVEN,2017-01/2018-12,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX20747114,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PD-11,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991112,WGS,221,920104141,PRJNA983534,SAMN35729030,Metagenome or environmental,322941124,KU LEUVEN,2017-01/2018-12,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX20747113,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PD-10,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991113,WGS,226,1773119310,PRJNA983534,SAMN35729030,Metagenome or environmental,613737213,KU LEUVEN,2017-01/2018-12,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20747112,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PD-1,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:41:00Z,1,Multiple_BT,SRP445320
SRR24991114,WGS,302,1790030104,PRJNA983534,SAMN35729030,Metagenome or environmental,543744966,KU LEUVEN,2017-01/2018-12,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX20747111,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL9,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:41:00Z,1,Multiple_BT,SRP445320
SRR24991115,WGS,302,1733456444,PRJNA983534,SAMN35729030,Metagenome or environmental,529424081,KU LEUVEN,2017-01/2018-12,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX20747110,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL11,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991116,WGS,302,1100866406,PRJNA983534,SAMN35729030,Metagenome or environmental,395145891,KU LEUVEN,2017-01/2018-12,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX20747109,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL8,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991117,WGS,302,1261402358,PRJNA983534,SAMN35729030,Metagenome or environmental,388445592,KU LEUVEN,2017-01/2018-12,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX20747108,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL7,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991118,WGS,302,1811663572,PRJNA983534,SAMN35729030,Metagenome or environmental,521669547,KU LEUVEN,2017-01/2018-12,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX20747107,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL6,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991119,WGS,302,1904660244,PRJNA983534,SAMN35729030,Metagenome or environmental,568848843,KU LEUVEN,2017-01/2018-12,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX20747106,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL5,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:41:00Z,1,Multiple_BT,SRP445320
SRR24991120,WGS,302,1900340738,PRJNA983534,SAMN35729030,Metagenome or environmental,538543120,KU LEUVEN,2017-01/2018-12,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX20747105,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL4,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991121,WGS,302,1846241062,PRJNA983534,SAMN35729030,Metagenome or environmental,566208630,KU LEUVEN,2017-01/2018-12,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX20747104,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL3,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991122,WGS,302,658179706,PRJNA983534,SAMN35729030,Metagenome or environmental,218200317,KU LEUVEN,2017-01/2018-12,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX20747103,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL21,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:39:00Z,1,Multiple_BT,SRP445320
SRR24991123,WGS,302,1555177388,PRJNA983534,SAMN35729030,Metagenome or environmental,503560455,KU LEUVEN,2017-01/2018-12,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20747102,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL20,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:41:00Z,1,Multiple_BT,SRP445320
SRR24991124,WGS,302,403299256,PRJNA983534,SAMN35729030,Metagenome or environmental,136073923,KU LEUVEN,2017-01/2018-12,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX20747101,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL2,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:39:00Z,1,Multiple_BT,SRP445320
SRR24991125,WGS,302,1639689068,PRJNA983534,SAMN35729030,Metagenome or environmental,547383012,KU LEUVEN,2017-01/2018-12,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX20747100,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL19,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
SRR24991126,WGS,302,3360339806,PRJNA983534,SAMN35729030,Metagenome or environmental,926720913,KU LEUVEN,2017-01/2018-12,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20747099,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL10,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:43:00Z,1,Multiple_BT,SRP445320
SRR24991127,WGS,302,1715879440,PRJNA983534,SAMN35729030,Metagenome or environmental,513150360,KU LEUVEN,2017-01/2018-12,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX20747098,Iran,Asia,Iran: Bushehr,Homo sapiens,NextSeq 500,blood,28.98 N 50.81 E,PCL1,PAIRED,RANDOM PCR,METAGENOMIC,blood metagenome,ILLUMINA,2023-12-31T00:00:00Z,2023-06-22T11:40:00Z,1,Multiple_BT,SRP445320
